Symbolic-Compositional Adversarial Synthesizer,./1/001.ltlf,true.ltlf,Agent,0.187,0,0,NA,NA,0.187,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/002.ltlf,true.ltlf,Agent,0.026,0.003,0,NA,NA,0.029,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/003.ltlf,true.ltlf,Agent,0.067,0,0,NA,NA,0.067,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/004.ltlf,true.ltlf,Agent,0.078,0,0,NA,NA,0.078,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/005.ltlf,true.ltlf,Agent,0.182,0.068,0.045,NA,NA,0.295,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/006.ltlf,true.ltlf,Agent,0.133,0,0,NA,NA,0.133,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/007.ltlf,true.ltlf,Agent,0.108,0.052,0.01,NA,NA,0.17,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/008.ltlf,true.ltlf,Agent,0.014,0.004,0,NA,NA,0.018,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/009.ltlf,true.ltlf,Agent,0.065,0,0,NA,NA,0.065,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/010.ltlf,true.ltlf,Agent,0.148,0,0,NA,NA,0.148,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/011.ltlf,true.ltlf,Agent,0.112,0.006,0.003,NA,NA,0.121,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/012.ltlf,true.ltlf,Agent,0.116,0,0,NA,NA,0.116,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/013.ltlf,true.ltlf,Agent,0.026,0.004,0,NA,NA,0.03,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/014.ltlf,true.ltlf,Agent,0.106,0.008,0.002,NA,NA,0.116,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/015.ltlf,true.ltlf,Agent,0.082,0.004,0.001,NA,NA,0.087,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/016.ltlf,true.ltlf,Agent,0.147,0,0,NA,NA,0.147,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/017.ltlf,true.ltlf,Agent,0.071,0.008,0,NA,NA,0.079,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/018.ltlf,true.ltlf,Agent,0.142,0.024,0.005,NA,NA,0.171,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/019.ltlf,true.ltlf,Agent,0.027,0.004,0,NA,NA,0.031,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/020.ltlf,true.ltlf,Agent,0.111,0.006,0.003,NA,NA,0.12,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/021.ltlf,true.ltlf,Agent,0.112,0.053,0.011,NA,NA,0.176,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/022.ltlf,true.ltlf,Agent,0.014,0.004,0,NA,NA,0.018,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/023.ltlf,true.ltlf,Agent,0.126,0,0,NA,NA,0.126,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/024.ltlf,true.ltlf,Agent,0.116,0.005,0.001,NA,NA,0.122,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/025.ltlf,true.ltlf,Agent,0.217,0.023,0.011,NA,NA,0.251,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/026.ltlf,true.ltlf,Agent,0.259,0,0,NA,NA,0.259,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/027.ltlf,true.ltlf,Agent,0.16,0.008,0.003,NA,NA,0.171,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/028.ltlf,true.ltlf,Agent,0.089,0.009,0,NA,NA,0.098,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/029.ltlf,true.ltlf,Agent,0.31,0,0,NA,NA,0.31,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/030.ltlf,true.ltlf,Agent,0.167,0,0,NA,NA,0.167,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/031.ltlf,true.ltlf,Agent,0.257,0.03,0.007,NA,NA,0.294,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/032.ltlf,true.ltlf,Agent,0.171,0,0,NA,NA,0.171,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/033.ltlf,true.ltlf,Agent,0.344,0,0,NA,NA,0.344,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/034.ltlf,true.ltlf,Agent,0.092,0.005,0.002,NA,NA,0.099,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/035.ltlf,true.ltlf,Agent,0.231,0,0,NA,NA,0.231,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/036.ltlf,true.ltlf,Agent,0.341,0.065,0.017,NA,NA,0.423,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/037.ltlf,true.ltlf,Agent,0.318,0,0,NA,NA,0.318,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/038.ltlf,true.ltlf,Agent,0.408,0,0,NA,NA,0.408,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/039.ltlf,true.ltlf,Agent,0.177,0,0,NA,NA,0.177,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/040.ltlf,true.ltlf,Agent,0.142,0,0,NA,NA,0.142,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/041.ltlf,true.ltlf,Agent,0.214,0.011,0.003,NA,NA,0.228,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/042.ltlf,true.ltlf,Agent,0.106,0.013,0.001,NA,NA,0.12,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/043.ltlf,true.ltlf,Agent,0.184,0.013,0.002,NA,NA,0.199,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/044.ltlf,true.ltlf,Agent,0.345,0,0,NA,NA,0.345,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/045.ltlf,true.ltlf,Agent,0.035,0.028,0.004,NA,NA,0.067,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/046.ltlf,true.ltlf,Agent,0.24,0,0,NA,NA,0.24,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/047.ltlf,true.ltlf,Agent,0.14,0.032,0.003,NA,NA,0.175,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/048.ltlf,true.ltlf,Agent,0.124,0,0,NA,NA,0.124,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/049.ltlf,true.ltlf,Agent,0.119,0.005,0.001,NA,NA,0.125,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/050.ltlf,true.ltlf,Agent,0.207,0,0,NA,NA,0.207,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/051.ltlf,true.ltlf,Agent,0.148,0.064,0.007,NA,NA,0.219,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/052.ltlf,true.ltlf,Agent,0.026,0.027,0.001,NA,NA,0.054,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/053.ltlf,true.ltlf,Agent,0.057,0.008,0,NA,NA,0.065,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/054.ltlf,true.ltlf,Agent,0.117,0.005,0.001,NA,NA,0.123,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/055.ltlf,true.ltlf,Agent,0.1,0,0,NA,NA,0.1,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/056.ltlf,true.ltlf,Agent,0.072,0.003,0,NA,NA,0.075,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/057.ltlf,true.ltlf,Agent,0.199,0.026,0.006,NA,NA,0.231,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/058.ltlf,true.ltlf,Agent,0.103,0.006,0.001,NA,NA,0.11,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/059.ltlf,true.ltlf,Agent,0.11,0,0,NA,NA,0.11,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/060.ltlf,true.ltlf,Agent,0.087,0,0,NA,NA,0.087,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/061.ltlf,true.ltlf,Agent,0.288,0,0,NA,NA,0.288,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/062.ltlf,true.ltlf,Agent,0.192,0,0,NA,NA,0.192,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/063.ltlf,true.ltlf,Agent,0.052,0,0,NA,NA,0.052,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/064.ltlf,true.ltlf,Agent,0.204,0,0,NA,NA,0.204,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/065.ltlf,true.ltlf,Agent,0.273,0.071,0.032,NA,NA,0.376,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/066.ltlf,true.ltlf,Agent,0.157,0,0,NA,NA,0.157,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/067.ltlf,true.ltlf,Agent,0.149,0.063,0.007,NA,NA,0.219,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/068.ltlf,true.ltlf,Agent,0.232,0.024,0.017,NA,NA,0.273,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/069.ltlf,true.ltlf,Agent,0.079,0,0,NA,NA,0.079,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/070.ltlf,true.ltlf,Agent,0.145,0.057,0.006,NA,NA,0.208,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/071.ltlf,true.ltlf,Agent,0.161,0,0,NA,NA,0.161,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/072.ltlf,true.ltlf,Agent,0.135,0,0,NA,NA,0.135,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/073.ltlf,true.ltlf,Agent,0.093,0,0,NA,NA,0.093,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/074.ltlf,true.ltlf,Agent,0.019,0.019,0.001,NA,NA,0.039,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/075.ltlf,true.ltlf,Agent,0.082,0.004,0,NA,NA,0.086,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/076.ltlf,true.ltlf,Agent,0.19,0,0,NA,NA,0.19,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/077.ltlf,true.ltlf,Agent,0.035,0,0,NA,NA,0.035,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/078.ltlf,true.ltlf,Agent,0.177,0.048,0.018,NA,NA,0.243,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/079.ltlf,true.ltlf,Agent,0.145,0,0,NA,NA,0.145,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/080.ltlf,true.ltlf,Agent,0.05,0,0,NA,NA,0.05,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/081.ltlf,true.ltlf,Agent,0.016,0.005,0,NA,NA,0.021,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/082.ltlf,true.ltlf,Agent,0.138,0.019,0.003,NA,NA,0.16,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/083.ltlf,true.ltlf,Agent,0.06,0.008,0.002,NA,NA,0.07,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/084.ltlf,true.ltlf,Agent,0.013,0.004,0,NA,NA,0.017,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/085.ltlf,true.ltlf,Agent,0.182,0,0,NA,NA,0.182,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/086.ltlf,true.ltlf,Agent,0.17,0,0,NA,NA,0.17,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/087.ltlf,true.ltlf,Agent,0.136,0,0,NA,NA,0.136,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/088.ltlf,true.ltlf,Agent,0.17,0,0,NA,NA,0.17,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/089.ltlf,true.ltlf,Agent,0.101,0,0,NA,NA,0.101,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/090.ltlf,true.ltlf,Agent,0.054,0.003,0,NA,NA,0.057,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/091.ltlf,true.ltlf,Agent,0.101,0.007,0.002,NA,NA,0.11,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/092.ltlf,true.ltlf,Agent,0.052,0,0,NA,NA,0.052,NoAdv,NA
Symbolic-Compositional Adversarial Synthesizer,./1/093.ltlf,true.ltlf,Agent,0.206,0,0,NA,NA,0.206,Adv,Dom
Symbolic-Compositional Adversarial Synthesizer,./1/094.ltlf,true.ltlf,Agent,0.15,0,0,NA,NA,0.15,Adv,Dom
