Symbolic-Compositional Best-Effort Synthesizer,unrgoal_2.ltlf,env_6.ltlf,Agent,0.015,0,0,0,0.015,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_2.ltlf,env_7.ltlf,Agent,0.018,0,0,0,0.018,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_2.ltlf,env_8.ltlf,Agent,0.02,0,0,0,0.02,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_2.ltlf,env_9.ltlf,Agent,0.021,0,0,0,0.021,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_2.ltlf,env_10.ltlf,Agent,0.022,0,0,0,0.022,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_1.ltlf,Agent,0.018,0,0,0,0.018,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_2.ltlf,Agent,0.019,0,0,0,0.019,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_3.ltlf,Agent,0.018,0,0,0,0.018,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_4.ltlf,Agent,0.02,0,0,0,0.02,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_5.ltlf,Agent,0.02,0,0,0,0.02,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_6.ltlf,Agent,0.02,0,0,0,0.02,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_7.ltlf,Agent,0.019,0,0,0,0.019,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_8.ltlf,Agent,0.021,0,0,0,0.021,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_9.ltlf,Agent,0.024,0,0,0,0.024,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_3.ltlf,env_10.ltlf,Agent,0.026,0,0,0,0.026,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_1.ltlf,Agent,0.023,0,0,0,0.023,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_2.ltlf,Agent,0.023,0.001,0,0,0.024,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_3.ltlf,Agent,0.025,0,0,0,0.025,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_4.ltlf,Agent,0.031,0,0,0,0.031,Unr
