Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_1.ltlf,Agent,0.01,0,0,0,0.01,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_2.ltlf,Agent,0.01,0.001,0,0,0.011,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_3.ltlf,Agent,0.01,0.001,0,0,0.011,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_4.ltlf,Agent,0.011,0.001,0,0.001,0.013,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_5.ltlf,Agent,0.013,0.001,0,0.001,0.015,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_6.ltlf,Agent,0.012,0.002,0,0.001,0.015,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_7.ltlf,Agent,0.015,0.002,0,0.001,0.018,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_8.ltlf,Agent,0.016,0.002,0.001,0.002,0.021,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_9.ltlf,Agent,0.017,0.002,0.001,0.002,0.022,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_10.ltlf,Agent,0.019,0.003,0.001,0.002,0.025,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_1.ltlf,Agent,0.012,0.001,0,0,0.013,Coop
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_2.ltlf,Agent,0.014,0.002,0,0.001,0.017,Coop
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_3.ltlf,Agent,0.013,0.003,0.001,0.003,0.02,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_4.ltlf,Agent,0.014,0.006,0.001,0.004,0.025,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_5.ltlf,Agent,0.016,0.005,0.003,0.008,0.032,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_6.ltlf,Agent,0.015,0.007,0.004,0.011,0.037,Adv
Explicit-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_7.ltlf,Agent,0.02,0.007,0.006,0.01,0.043,Adv
